RowID,Name,smiles-joint,cation,anion,econd_15,econd_20,econd_25,econd_30,econd_40,econd_50,econd_60,econd_70
IL0066,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",C[N+](C)(C)CCO.C[C@H](O)C([O-])=O,C[N+](C)(C)CCO,C[C@H](O)C([O-])=O,,0.01375,0.0219,0.0327,0.0647,0.1094,,
IL0334,1-ethyl-1-methylpiperidin-1-ium ethyl phosphonate,CC[N+]1(C)CCCCC1.CCO[PH]([O-])=O,CC[N+]1(C)CCCCC1,CCO[PH]([O-])=O,,0.068,0.078,0.09,0.118,0.155,,
IL0335,1-butyl-1-methylpyrrolidin-1-ium butyl phosphonate,CCCC[N+]1(C)CCCC1.CCCCO[PH]([O-])=O,CCCC[N+]1(C)CCCC1,CCCCO[PH]([O-])=O,,0.022,0.027,0.034,0.05,0.075,,
IL0336,1-butyl-1-methylpiperidin-1-ium butyl phosphonate,CCCC[N+]1(C)CCCCC1.CCCCO[PH]([O-])=O,CCCC[N+]1(C)CCCCC1,CCCCO[PH]([O-])=O,,0.026,0.031,0.037,0.053,0.075,,
IL0337,1-methyl-1-octylpiperidin-1-ium octyl phosphonate,CCCCCCCC[N+]1(C)CCCCC1.CCCCCCCCO[PH]([O-])=O,CCCCCCCC[N+]1(C)CCCCC1,CCCCCCCCO[PH]([O-])=O,,0.03,0.033,0.036,0.042,0.05,,
IL0620,1-butyl-3-ethylimidazolium bromide,CCCCn1cc[n+](CC)c1.[Br-],CCCCn1cc[n+](CC)c1,[Br-],,0.0372,0.0502,0.0696,0.1459,0.2635,,
IL1372,1-butyl-3-methylimidazolium taurate,CCCCn1cc[n+](C)c1.NCC[S]([O-])(=O)=O,CCCCn1cc[n+](C)c1,NCC[S]([O-])(=O)=O,,0.0098,0.0161,0.0257,0.0518,0.0922,,
IL1509,1-ethyl-3-methylpyridinium perfluoropentanoate,CC[n+]1cccc(C)c1.[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC[n+]1cccc(C)c1,[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0.0915,0.12,0.155,0.239,0.355,,
IL1582,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",CCCCn1cc[n+](C)c1C.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCCn1cc[n+](C)c1C,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,0.178,0.226,0.289,0.426,0.599,,
IL1780,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",CCCn1cc[n+](C)c1C.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCn1cc[n+](C)c1C,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,0.196,0.265,0.338,0.503,0.687,,
